id	x	y
469	20.8189	-7.3031363
470	25.116402	-11.17531
471	-8.606198	2.024876
472	-21.11115	13.207733
473	-8.145364	14.458443
474	-19.295147	11.968848
475	19.402033	-13.633984
476	-8.96765	15.674268
477	-2.1739616	-12.619884
478	-9.883148	-4.1577554
479	8.226889	-0.95085603
480	-10.399193	12.59366
481	-19.715242	26.1622
482	10.217912	-0.61204696
483	31.791174	-8.019162
484	-11.131887	10.930193
485	26.317791	-9.095947
486	17.078012	-9.421441
487	-10.529405	18.39526
488	8.846033	-1.0425926
489	-5.3030496	19.973951
490	17.358244	-4.069322
491	-13.745859	11.156522
492	-22.796387	20.014864
493	-15.641778	12.02972
494	17.411064	-8.228007
495	-16.393518	-1.5255684
496	-13.473474	-3.7791827
497	-10.046213	15.056369
